season,name,age,hometown,region,job_title,job_title_to_category
1,Alex Michel,31,"Charlottesville, Virginia",South,"Management consultant","Business/Consulting"
2,Aaron Buerge,28,"Butler, Missouri",Midwest,"Banker","Finance"
3,Andrew Firestone,27,"Santa Barbara, California",West,"Sales manager of Firestone Family estates","Real Estate"
4,Bob Guiney,32,"Riverview, Michigan",Midwest,"Creator of a mortgage company","Finance"
5,Jesse Palmer,25,"Toronto, Ontario",Foreign,"College football player","Sports"
6,Byron Velvick,40,"Downey, California",West,"Professional bass fisherman","Sports"
7,Charlie O'Connell,29,"Myrtle Beach, South Carolina",South,"Actor","Entertainment"
8,Travis Lane Stork,33,"Fort Collins, Colorado",West,"Doctor","Healthcare/Medicine"
9,Lorenzo Borghese,34,"Milan, Italy",Foreign,"Cosmetics entrepreneur","Beauty/Fashion"
10,Andy Baldwin,30,"Lancaster, Pennsylvania",Northeast,"US Navy Officer","Military"
11,Brad Womack,34,"Atlanta, Georgia",South,"Entrepreneur","Business/Entrepreneurship"
12,Matt Grant,27,"London, United Kingdom",Foreign,"Global financier","Finance"
13,Jason Mesnick,32,"Kirkland, Washington",West, "Account executive","Sales/Marketing"
14,Jake Pavelka,31,"Dallas, Texas",South,"Commercial pilot","Aviation"
15,Brad Womack,38,"Atlanta, Georgia",Texas,"Entrepreneur","Business/Entrepreneurship"
16,Ben Flajnik,29,"Sonoma, California",West,"Winemaker","Food/Beverage"
17,Sean Lowe,29,"Arlington, Texas",South,"Reality TV personality Author","Media/Entertainment"
18,Juan Pablo Galavis,32,"Ithaca, New York",Northeast,"Professional soccer player","Sports"
19,Chris Soules,33,"Arlington, Iowa",Midwest,"Farmer","Agriculture"
20,Ben Higgins,27,"Warsaw, Indiana",Midwest,"Software salesman","Technology"
21,Nick Viall,36,"Waukesha, Wisconsin",Midwest,"Software sales executive","Technology"
22,Arie Luyendyk Jr.,35,"Netherlands",Foreign,"Race car driver","Sports"
23,Colton Underwood,26,"Indianapolis, Indiana",Midwest,"Former NFL player","Sports"
24,Peter Weber,28,"Fairfax, Virginia",South,"Pilot","Aviation"
25,Matt James,29,"Raleigh, North Carolina",South,"Real estate broker and entrepreneur","Real Estate/Business"
26,Clayton Echard,28,"Eureka, Missouri",Midwest,"Medical sales representative","Healthcare/Medicine"
27,Zach Shallcross,26,"Fullerton, California",West,"Tech executive","Technology"
28,Joey Graziadei,29,"Royersford, Pennsylvania",Northeast,"Tennis Pro","Sports"
