Name,Age,Hometown,Occupation,Outcome
DeAnna Pappas[1],25,"Newnan, Georgia",Realtor,Co-runners-up
Jenni Croft,27,"Wichita, Kansas",Phoenix Suns Cheerleader,
Bettina Bell[2],27,"Washington, D.C.",Realtor,Week 7
Sheena Stewart[3],23,"Walnut Creek, California",Internet marketing executive,Week 6
Hillary Reisinger[4],27,"Philadelphia, Pennsylvania",Registered nurse,Week 5
Kristy Katzmann[5],29,"Gurnee, Illinois",Acupuncturist,Week 5
McCarten Delaney[6][7],26,"Lemon Grove, California",Account manager,Week 4
"Estefania ""Stephy"" Leon",26,"Atlanta, Georgia",Executive assistant,Week 4
Jade Beazley[8],24,"Nashville, Tennessee",Boutique sales worker,Week 4
Lindsey Hawkins,25,"Livonia, Michigan",Model,Week 3
Sarah Newlon,23,"O'Fallon, Illinois",Bar manager,Week 3
Solisa Shoop[9],25,"Georgetown, Texas",Esthetician,Week 3
Erin Gardner,25,"Tampa, Florida",Publishing sales executive,Week 2
Mallory Simons,24,"Honolulu, Hawaii",Nanny,Week 2
Michele Leavy[10],30,"South Brunswick, New Jersey",Realtor,Week 2
Jessica Kiss,27,"Lady Lake, Florida",News anchor,Week 1
"Julia ""Juli"" Gilliam",24,"Chicago, Illinois",Law student,Week 1
"Kimberly ""Kim"" Orville",31,"Woodbridge, Connecticut",Realtor,Week 1
Lori Langley[11],33,"Annapolis, Maryland",Biology teacher,Week 1
Melissa Buschel[12],28,"Armonk, New York",Event planner,Week 1
Morgan Becker,24,"Tempe, Arizona",Graduate student,Week 1
Natalie Velasco,25,"Duncanville, Texas",Law student,Week 1
Regina Doringa,31,"San Diego, California",Account representative,Week 1
Tauni Nessler [11],31,"St. Louis Park, Minnesota",Emergency room nurse,Week 1
Susan Coolidge,35,"St. Charles, Illinois",Project analyst,Week 1
